Name,Info
Portrait,Focuses image on the face / headshot.
Digital painting,Digital art style
Concept art,"Illustration style, 2D"
Ultra realistic illustration,drawing that are very realistic. Good to use with people
Underwater portrait,Use with people. Underwater. Hair floating
Underwater steampunk, underwater with wash color
illustration, 
oil, 
painting, 
3D rendering, 
photography, 
printmaking, 
sculpture, 
Gouache on paper, 
Tempera on board, 
Oil on canvas, 
Ink on bamboo
